Pos,No,Driver,Car,Laps,Time/Retired,PTS
1,1,MaxVerstappen,RedBullRacingRBPT,53,1:20:27.511,25
2,16,CharlesLeclerc,Ferrari,53,+2.446s,18
3,63,GeorgeRussell,Mercedes,53,+3.405s,15
4,55,CarlosSainz,Ferrari,53,+5.061s,12
5,44,LewisHamilton,Mercedes,53,+5.380s,10
6,11,SergioPerez,RedBullRacingRBPT,53,+6.091s,9
7,4,LandoNorris,McLarenMercedes,53,+6.207s,6
8,10,PierreGasly,AlphaTauriRBPT,53,+6.396s,4
9,45,NyckDeVries,WilliamsMercedes,53,+7.122s,2
10,24,ZhouGuanyu,AlfaRomeoFerrari,53,+7.910s,1
11,31,EstebanOcon,AlpineRenault,53,+8.323s,0
12,47,MickSchumacher,HaasFerrari,53,+8.549s,0
13,77,ValtteriBottas,AlfaRomeoFerrari,52,+1lap,0
14,22,YukiTsunoda,AlphaTauriRBPT,52,+1lap,0
15,6,NicholasLatifi,WilliamsMercedes,52,+1lap,0
16,20,KevinMagnussen,HaasFerrari,52,+1lap,0
NC,3,DanielRicciardo,McLarenMercedes,45,DNF,0
NC,18,LanceStroll,AstonMartinAramcoMercedes,39,DNF,0
NC,14,FernandoAlonso,AlpineRenault,31,DNF,0
NC,5,SebastianVettel,AstonMartinAramcoMercedes,10,DNF,0
