Pos,No,Driver,Car,Laps,Time/Retired,PTS
1,1,MaxVerstappen,RedBullRacingRBPT,28,3:01:44.004,25
2,11,SergioPerez,RedBullRacingRBPT,28,+27.066s,18
3,16,CharlesLeclerc,Ferrari,28,+31.763s,15
4,31,EstebanOcon,AlpineRenault,28,+39.685s,12
5,44,LewisHamilton,Mercedes,28,+40.326s,10
6,5,SebastianVettel,AstonMartinAramcoMercedes,28,+46.358s,8
7,14,FernandoAlonso,AlpineRenault,28,+46.369s,6
8,63,GeorgeRussell,Mercedes,28,+47.661s,4
9,6,NicholasLatifi,WilliamsMercedes,28,+70.143s,2
10,4,LandoNorris,McLarenMercedes,28,+70.782s,1
11,3,DanielRicciardo,McLarenMercedes,28,+72.877s,0
12,18,LanceStroll,AstonMartinAramcoMercedes,28,+73.904s,0
13,22,YukiTsunoda,AlphaTauriRBPT,28,+75.599s,0
14,20,KevinMagnussen,HaasFerrari,28,+86.016s,0
15,77,ValtteriBottas,AlfaRomeoFerrari,28,+86.496s,0
16,24,ZhouGuanyu,AlfaRomeoFerrari,28,+87.043s,0
17,47,MickSchumacher,HaasFerrari,28,+92.523s,0
18,10,PierreGasly,AlphaTauriRBPT,28,+108.091s,0
NC,55,CarlosSainz,Ferrari,0,DNF,0
NC,23,AlexanderAlbon,WilliamsMercedes,0,DNF,0
