POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Max Verstappen,RED BULL RACING RBPT,57,34:24.3,26
2,16,Charles Leclerc,FERRARI,57,+3.786s,18
3,55,Carlos Sainz,FERRARI,57,+8.229s,15
4,11,Sergio Perez,RED BULL RACING RBPT,57,+10.638s,12
5,63,George Russell,MERCEDES,57,+18.582s,10
6,44,Lewis Hamilton,MERCEDES,57,+21.368s,8
7,77,Valtteri Bottas,ALFA ROMEO FERRARI,57,+25.073s,6
8,31,Esteban Ocon,ALPINE RENAULT,57,+28.386s,4
9,23,Alexander Albon,WILLIAMS MERCEDES,57,+32.365s,2
10,18,Lance Stroll,ASTON MARTIN ARAMCO MERCEDES,57,+37.026s,1
11,14,Fernando Alonso,ALPINE RENAULT,57,+37.128s,0
12,22,Yuki Tsunoda,ALPHATAURI RBPT,57,+40.146s,0
13,3,Daniel Ricciardo,MCLAREN MERCEDES,57,+40.902s,0
14,6,Nicholas Latifi,WILLIAMS MERCEDES,57,+49.936s,0
15,47,Mick Schumacher,HAAS FERRARI,57,+73.305s,0
16,20,Kevin Magnussen,HAAS FERRARI,56,DNF,0
17,5,Sebastian Vettel,ASTON MARTIN ARAMCO MERCEDES,54,DNF,0
NC,10,Pierre Gasly,ALPHATAURI RBPT,45,DNF,0
NC,4,Lando Norris,MCLAREN MERCEDES,39,DNF,0
NC,24,Zhou Guanyu,ALFA ROMEO FERRARI,6,DNF,0
