Pos,No,Driver,Car,Laps,Time/Retired,PTS
1,1,MaxVerstappen,RedBullRacingRBPT,72,1:36:42.773,26
2,63,GeorgeRussell,Mercedes,72,+4.071s,18
3,16,CharlesLeclerc,Ferrari,72,+10.929s,15
4,44,LewisHamilton,Mercedes,72,+13.016s,12
5,11,SergioPerez,RedBullRacingRBPT,72,+18.168s,10
6,14,FernandoAlonso,AlpineRenault,72,+18.754s,8
7,4,LandoNorris,McLarenMercedes,72,+19.306s,6
8,55,CarlosSainz,Ferrari,72,+20.916s,4
9,31,EstebanOcon,AlpineRenault,72,+21.117s,2
10,18,LanceStroll,AstonMartinAramcoMercedes,72,+22.459s,1
11,10,PierreGasly,AlphaTauriRBPT,72,+27.009s,0
12,23,AlexanderAlbon,WilliamsMercedes,72,+30.390s,0
13,47,MickSchumacher,HaasFerrari,72,+32.995s,0
14,5,SebastianVettel,AstonMartinAramcoMercedes,72,+36.007s,0
15,20,KevinMagnussen,HaasFerrari,72,+36.869s,0
16,24,ZhouGuanyu,AlfaRomeoFerrari,72,+37.320s,0
17,3,DanielRicciardo,McLarenMercedes,72,+37.764s,0
18,6,NicholasLatifi,WilliamsMercedes,71,+1lap,0
NC,77,ValtteriBottas,AlfaRomeoFerrari,53,DNF,0
NC,22,YukiTsunoda,AlphaTauriRBPT,43,DNF,0
