Pos,No,Driver,Car,Laps,Time/Retired,PTS
1,11,SergioPerez,RedBullRacingRBPT,59,2:02:20.238,25
2,16,CharlesLeclerc,Ferrari,59,+2.595s,18
3,55,CarlosSainz,Ferrari,59,+10.305s,15
4,4,LandoNorris,McLarenMercedes,59,+21.133s,12
5,3,DanielRicciardo,McLarenMercedes,59,+53.282s,10
6,18,LanceStroll,AstonMartinAramcoMercedes,59,+56.330s,8
7,1,MaxVerstappen,RedBullRacingRBPT,59,+58.825s,6
8,5,SebastianVettel,AstonMartinAramcoMercedes,59,+60.032s,4
9,44,LewisHamilton,Mercedes,59,+61.515s,2
10,10,PierreGasly,AlphaTauriRBPT,59,+69.576s,1
11,77,ValtteriBottas,AlfaRomeoFerrari,59,+88.844s,0
12,20,KevinMagnussen,HaasFerrari,59,+92.610s,0
13,47,MickSchumacher,HaasFerrari,58,+1lap,0
14,63,GeorgeRussell,Mercedes,57,+2laps,0
NC,22,YukiTsunoda,AlphaTauriRBPT,34,DNF,0
NC,31,EstebanOcon,AlpineRenault,26,DNF,0
NC,23,AlexanderAlbon,WilliamsMercedes,25,DNF,0
NC,14,FernandoAlonso,AlpineRenault,20,DNF,0
NC,6,NicholasLatifi,WilliamsMercedes,7,DNF,0
NC,24,ZhouGuanyu,AlfaRomeoFerrari,6,DNF,0
