POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Max Verstappen,RED BULL RACING RBPT,66,37:20.5,25
2,11,Sergio Perez,RED BULL RACING RBPT,66,+13.072s,19
3,63,George Russell,MERCEDES,66,+32.927s,15
4,55,Carlos Sainz,FERRARI,66,+45.208s,12
5,44,Lewis Hamilton,MERCEDES,66,+54.534s,10
6,77,Valtteri Bottas,ALFA ROMEO FERRARI,66,+59.976s,8
7,31,Esteban Ocon,ALPINE RENAULT,66,+75.397s,6
8,4,Lando Norris,MCLAREN MERCEDES,66,+83.235s,4
9,14,Fernando Alonso,ALPINE RENAULT,65,+1 lap,2
10,22,Yuki Tsunoda,ALPHATAURI RBPT,65,+1 lap,1
11,5,Sebastian Vettel,ASTON MARTIN ARAMCO MERCEDES,65,+1 lap,0
12,3,Daniel Ricciardo,MCLAREN MERCEDES,65,+1 lap,0
13,10,Pierre Gasly,ALPHATAURI RBPT,65,+1 lap,0
14,47,Mick Schumacher,HAAS FERRARI,65,+1 lap,0
15,18,Lance Stroll,ASTON MARTIN ARAMCO MERCEDES,65,+1 lap,0
16,6,Nicholas Latifi,WILLIAMS MERCEDES,64,+2 laps,0
17,20,Kevin Magnussen,HAAS FERRARI,64,+2 laps,0
18,23,Alexander Albon,WILLIAMS MERCEDES,64,+2 laps,0
NC,24,Zhou Guanyu,ALFA ROMEO FERRARI,28,DNF,0
NC,16,Charles Leclerc,FERRARI,27,DNF,0
