Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,1,Max Verstappen,Red Bull Racing RBPT,62,16:17:22,01:07.3,231.063
2,16,Charles Leclerc,Ferrari,62,16:17:19,01:07.6,230.01
3,14,Fernando Alonso,Alpine Renault,62,16:18:42,01:08.6,226.739
4,55,Carlos Sainz,Ferrari,55,16:08:29,01:08.6,226.438
5,44,Lewis Hamilton,Mercedes,63,16:19:02,01:09.0,225.286
6,63,George Russell,Mercedes,61,16:17:00,01:09.1,225.042
7,77,Valtteri Bottas,Alfa Romeo Ferrari,61,16:17:25,01:09.3,224.421
8,4,Lando Norris,McLaren Mercedes,62,16:18:21,01:09.3,224.298
9,24,Zhou Guanyu,Alfa Romeo Ferrari,50,16:04:04,01:09.4,224.053
10,31,Esteban Ocon,Alpine Renault,62,16:18:10,01:09.6,223.476
11,47,Mick Schumacher,Haas Ferrari,50,16:03:34,01:09.6,223.264
12,23,Alexander Albon,Williams Mercedes,60,16:16:14,01:09.7,223.123
13,3,Daniel Ricciardo,McLaren Mercedes,61,16:17:17,01:09.9,222.309
14,20,Kevin Magnussen,Haas Ferrari,61,16:17:11,01:09.9,222.265
15,5,Sebastian Vettel,Aston Martin Aramco Mercedes,62,16:18:51,01:10.0,222.065
16,22,Yuki Tsunoda,AlphaTauri RBPT,62,16:18:50,01:10.0,221.995
17,18,Lance Stroll,Aston Martin Aramco Mercedes,64,16:21:05,01:10.0,221.916
18,10,Pierre Gasly,AlphaTauri RBPT,61,16:17:33,01:10.1,221.739
19,6,Nicholas Latifi,Williams Mercedes,14,15:20:33,01:10.9,219.28
20,11,Sergio Perez,Red Bull Racing RBPT,5,15:10:13,01:11.8,216.371
