Pos,No,Driver,Car,Lap,Timeofday,Time,AvgSpeed
1,1,MaxVerstappen,RedBullRacingRBPT,32,16:07:14,1:49.354,230.575
2,16,CharlesLeclerc,Ferrari,44,16:30:47,1:49.984,229.255
3,11,SergioPerez,RedBullRacingRBPT,29,16:01:51,1:50.764,227.640
4,63,GeorgeRussell,Mercedes,31,16:05:48,1:50.793,227.581
5,4,LandoNorris,McLarenMercedes,31,16:06:37,1:51.678,225.777
6,31,EstebanOcon,AlpineRenault,36,16:15:50,1:51.717,225.698
7,55,CarlosSainz,Ferrari,32,16:07:34,1:51.977,225.174
8,6,NicholasLatifi,WilliamsMercedes,38,16:20:24,1:52.256,224.615
9,24,ZhouGuanyu,AlfaRomeoFerrari,30,16:04:45,1:52.317,224.493
10,22,YukiTsunoda,AlphaTauriRBPT,32,16:08:35,1:52.436,224.255
11,5,SebastianVettel,AstonMartinAramcoMercedes,40,16:23:23,1:52.515,224.098
12,47,MickSchumacher,HaasFerrari,35,16:14:30,1:52.646,223.837
13,14,FernandoAlonso,AlpineRenault,35,16:13:50,1:52.868,223.397
14,18,LanceStroll,AstonMartinAramcoMercedes,29,16:02:47,1:52.880,223.373
15,10,PierreGasly,AlphaTauriRBPT,24,15:53:09,1:53.002,223.132
16,23,AlexanderAlbon,WilliamsMercedes,28,16:00:51,1:53.055,223.027
17,3,DanielRicciardo,McLarenMercedes,34,16:12:21,1:53.080,222.978
18,20,KevinMagnussen,HaasFerrari,29,16:02:57,1:53.332,222.482
