Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,55,Carlos Sainz,Ferrari,63,15:30:43,01:15.7,207.258
2,1,Max Verstappen,Red Bull Racing RBPT,64,15:31:59,01:15.8,207.012
3,16,Charles Leclerc,Ferrari,62,15:29:37,01:15.9,206.843
4,44,Lewis Hamilton,Mercedes,69,15:38:25,01:16.2,206.12
5,63,George Russell,Mercedes,63,15:30:51,01:16.4,205.443
6,24,Zhou Guanyu,Alfa Romeo Ferrari,63,15:30:59,01:16.6,205.014
7,77,Valtteri Bottas,Alfa Romeo Ferrari,60,15:27:06,01:16.9,204.084
8,14,Fernando Alonso,Alpine Renault,64,15:32:15,01:17.0,203.864
9,31,Esteban Ocon,Alpine Renault,62,15:29:40,01:17.1,203.6
10,18,Lance Stroll,Aston Martin Aramco Mercedes,64,15:32:25,01:17.4,202.782
11,4,Lando Norris,McLaren Mercedes,63,15:31:13,01:17.5,202.588
12,10,Pierre Gasly,AlphaTauri RBPT,60,15:27:17,01:17.8,201.768
13,3,Daniel Ricciardo,McLaren Mercedes,59,15:25:55,01:17.9,201.452
14,23,Alexander Albon,Williams Mercedes,59,15:25:59,01:18.0,201.403
15,5,Sebastian Vettel,Aston Martin Aramco Mercedes,63,15:31:10,01:18.0,201.39
16,20,Kevin Magnussen,Haas Ferrari,11,14:19:19,01:18.0,201.158
17,22,Yuki Tsunoda,AlphaTauri RBPT,15,14:24:22,01:18.3,200.482
18,6,Nicholas Latifi,Williams Mercedes,61,15:28:42,01:18.5,199.893
19,11,Sergio Perez,Red Bull Racing RBPT,7,14:12:43,01:18.8,199.122
20,47,Mick Schumacher,Haas Ferrari,13,14:21:28,01:19.0,198.812
