Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,55,Carlos Sainz,Ferrari,51,16:30:58,01:35.8,219.575
2,1,Max Verstappen,Red Bull Racing RBPT,30,15:55:33,01:37.5,215.724
3,63,George Russell,Mercedes,51,16:30:42,01:37.5,215.598
4,44,Lewis Hamilton,Mercedes,30,15:55:37,01:37.7,215.333
5,11,Sergio Perez,Red Bull Racing RBPT,45,16:20:19,01:37.8,215.086
6,77,Valtteri Bottas,Alfa Romeo Ferrari,52,16:33:20,01:38.0,214.685
7,16,Charles Leclerc,Ferrari,4,15:10:18,01:38.1,214.411
8,14,Fernando Alonso,Alpine Renault,53,16:34:25,01:38.2,214.254
9,31,Esteban Ocon,Alpine Renault,53,16:34:39,01:38.7,213.116
10,10,Pierre Gasly,AlphaTauri RBPT,53,16:34:48,01:38.8,212.896
11,4,Lando Norris,McLaren Mercedes,43,16:17:27,01:39.0,212.356
12,5,Sebastian Vettel,Aston Martin Aramco Mercedes,43,16:17:38,01:39.0,212.341
13,47,Mick Schumacher,Haas Ferrari,48,16:26:11,01:39.1,212.29
14,3,Daniel Ricciardo,McLaren Mercedes,27,15:50:57,01:39.1,212.151
15,18,Lance Stroll,Aston Martin Aramco Mercedes,52,16:33:04,01:39.2,212.04
16,23,Alexander Albon,Williams Mercedes,53,16:34:51,01:39.2,212.01
17,20,Kevin Magnussen,Haas Ferrari,11,15:22:45,01:39.3,211.869
18,24,Zhou Guanyu,Alfa Romeo Ferrari,25,15:48:37,01:39.4,211.649
19,6,Nicholas Latifi,Williams Mercedes,40,16:13:35,01:39.6,211.05
20,22,Yuki Tsunoda,AlphaTauri RBPT,4,15:10:44,01:40.2,209.858
