POS,NO,DRIVER,CAR,LAP,TIME OF DAY,TIME,AVG SPEED
1,1,Max Verstappen,RED BULL RACING RBPT,55,16:24:32,01:18.4,225.281
2,16,Charles Leclerc,FERRARI,63,16:36:07,01:18.6,224.914
3,11,Sergio Perez,RED BULL RACING RBPT,52,16:20:46,01:18.9,223.845
4,47,Mick Schumacher,HAAS FERRARI,55,16:26:33,01:19.0,223.704
5,22,Yuki Tsunoda,ALPHATAURI RBPT,61,16:33:29,01:20.5,219.412
6,77,Valtteri Bottas,ALFA ROMEO FERRARI,43,16:08:51,01:20.8,218.831
7,4,Lando Norris,MCLAREN MERCEDES,61,16:33:03,01:20.9,218.439
8,63,George Russell,MERCEDES,57,16:27:45,01:21.0,218.28
9,5,Sebastian Vettel,ASTON MARTIN ARAMCO MERCEDES,47,16:14:34,01:21.2,217.61
10,20,Kevin Magnussen,HAAS FERRARI,61,16:33:43,01:21.2,217.538
11,24,Zhou Guanyu,ALFA ROMEO FERRARI,61,16:34:13,01:21.3,217.41
12,6,Nicholas Latifi,WILLIAMS MERCEDES,62,16:35:37,01:21.3,217.271
13,44,Lewis Hamilton,MERCEDES,50,16:19:00,01:21.4,217.054
14,3,Daniel Ricciardo,MCLAREN MERCEDES,61,16:34:47,01:21.6,216.634
15,10,Pierre Gasly,ALPHATAURI RBPT,34,15:57:05,01:21.7,216.274
16,18,Lance Stroll,ASTON MARTIN ARAMCO MERCEDES,46,16:13:27,01:21.8,216.176
17,23,Alexander Albon,WILLIAMS MERCEDES,61,16:34:02,01:21.8,216.157
18,31,Esteban Ocon,ALPINE RENAULT,37,16:01:09,01:21.9,215.814
19,14,Fernando Alonso,ALPINE RENAULT,5,15:13:47,01:39.7,177.282
