Pos,No,Driver,Car,Lap,Timeofday,Time,AvgSpeed
1,11,SergioPerez,RedBullRacingRBPT,46,16:11:02,1:24.030,248.182
2,16,CharlesLeclerc,Ferrari,38,15:58:50,1:24.336,247.282
3,44,LewisHamilton,Mercedes,43,16:06:39,1:24.434,246.995
4,55,CarlosSainz,Ferrari,41,16:03:26,1:24.446,246.960
5,4,LandoNorris,McLarenMercedes,43,16:06:44,1:24.718,246.167
6,1,MaxVerstappen,RedBullRacingRBPT,38,15:58:31,1:24.745,246.088
7,63,GeorgeRussell,Mercedes,40,16:01:47,1:25.288,244.522
8,47,MickSchumacher,HaasFerrari,43,16:07:10,1:25.298,244.493
9,77,ValtteriBottas,AlfaRomeoFerrari,45,16:10:04,1:25.706,243.329
10,24,ZhouGuanyu,AlfaRomeoFerrari,41,16:04:05,1:26.361,241.484
11,31,EstebanOcon,AlpineRenault,37,15:58:21,1:26.593,240.837
12,3,DanielRicciardo,McLarenMercedes,39,16:01:08,1:26.603,240.809
13,45,NyckDeVries,WilliamsMercedes,41,16:04:05,1:26.624,240.750
14,10,PierreGasly,AlphaTauriRBPT,30,15:48:04,1:26.718,240.489
15,6,NicholasLatifi,WilliamsMercedes,17,15:29:23,1:26.798,240.268
16,20,KevinMagnussen,HaasFerrari,37,15:58:46,1:26.798,240.268
17,22,YukiTsunoda,AlphaTauriRBPT,43,16:07:08,1:26.857,240.105
18,14,FernandoAlonso,AlpineRenault,7,15:13:46,1:27.203,239.152
19,18,LanceStroll,AstonMartinAramcoMercedes,34,15:54:11,1:27.467,238.430
20,5,SebastianVettel,AstonMartinAramcoMercedes,4,15:09:28,1:27.501,238.337
