Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,1,Max Verstappen,Red Bull Racing RBPT,54,17:03:04,01:31.4,213.255
2,16,Charles Leclerc,Ferrari,53,17:01:34,01:31.5,212.959
3,55,Carlos Sainz,Ferrari,56,17:06:15,01:31.8,212.258
4,11,Sergio Perez,Red Bull Racing RBPT,54,17:03:13,01:31.8,212.191
5,63,George Russell,Mercedes,56,17:06:25,01:32.2,211.325
6,47,Mick Schumacher,Haas Ferrari,57,17:08:53,01:32.5,210.565
7,44,Lewis Hamilton,Mercedes,55,17:04:54,01:32.9,209.629
8,22,Yuki Tsunoda,AlphaTauri RBPT,55,17:05:11,01:33.0,209.417
9,31,Esteban Ocon,Alpine Renault,56,17:06:34,01:33.2,209.13
10,77,Valtteri Bottas,Alfa Romeo Ferrari,56,17:06:31,01:33.2,209.083
11,3,Daniel Ricciardo,McLaren Mercedes,56,17:06:42,01:33.3,208.901
12,18,Lance Stroll,Aston Martin Aramco Mercedes,52,17:00:23,01:33.3,208.796
13,14,Fernando Alonso,Alpine Renault,53,17:01:52,01:33.3,208.753
14,4,Lando Norris,McLaren Mercedes,37,16:32:36,01:33.4,208.575
15,23,Alexander Albon,Williams Mercedes,57,17:08:12,01:33.4,208.494
16,5,Sebastian Vettel,Aston Martin Aramco Mercedes,50,16:57:12,01:33.5,208.423
17,20,Kevin Magnussen,Haas Ferrari,52,17:00:23,01:33.5,208.351
18,6,Nicholas Latifi,Williams Mercedes,53,17:02:09,01:34.2,206.896
19,10,Pierre Gasly,AlphaTauri RBPT,38,16:34:03,01:34.5,206.199
20,24,Zhou Guanyu,Alfa Romeo Ferrari,4,15:39:50,01:35.7,203.52
