Pos,No,Driver,Car,Lap,Timeofday,Time,AvgSpeed
1,1,MaxVerstappen,RedBullRacingRBPT,62,16:27:18,1:13.652,208.173
2,63,GeorgeRussell,Mercedes,72,16:39:43,1:13.671,208.119
3,44,LewisHamilton,Mercedes,54,16:13:20,1:13.854,207.604
4,14,FernandoAlonso,AlpineRenault,51,16:10:16,1:14.144,206.792
5,11,SergioPerez,RedBullRacingRBPT,63,16:28:38,1:14.404,206.069
6,16,CharlesLeclerc,Ferrari,62,16:27:22,1:14.413,206.044
7,55,CarlosSainz,Ferrari,63,16:28:38,1:14.643,205.409
8,4,LandoNorris,McLarenMercedes,63,16:28:40,1:14.706,205.236
9,5,SebastianVettel,AstonMartinAramcoMercedes,50,16:10:00,1:14.862,204.808
10,18,LanceStroll,AstonMartinAramcoMercedes,65,16:31:12,1:15.043,204.314
11,31,EstebanOcon,AlpineRenault,64,16:29:57,1:15.084,204.203
12,10,PierreGasly,AlphaTauriRBPT,65,16:31:13,1:15.165,203.983
13,47,MickSchumacher,HaasFerrari,51,16:11:13,1:15.233,203.798
14,20,KevinMagnussen,HaasFerrari,53,16:13:50,1:15.369,203.431
15,23,AlexanderAlbon,WilliamsMercedes,65,16:31:16,1:15.534,202.986
16,3,DanielRicciardo,McLarenMercedes,52,16:12:36,1:15.577,202.871
17,24,ZhouGuanyu,AlfaRomeoFerrari,63,16:28:48,1:15.940,201.901
18,6,NicholasLatifi,WilliamsMercedes,62,16:28:51,1:16.066,201.567
19,77,ValtteriBottas,AlfaRomeoFerrari,51,16:11:00,1:16.844,199.526
20,22,YukiTsunoda,AlphaTauriRBPT,16,15:24:18,1:17.138,198.765
