Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,16,Charles Leclerc,Ferrari,48,21:24:43,01:31.6,242.556
2,1,Max Verstappen,Red Bull Racing RBPT,50,21:27:46,01:31.8,242.191
3,55,Carlos Sainz,Ferrari,48,21:24:50,01:31.9,241.841
4,11,Sergio Perez,Red Bull Racing RBPT,46,21:21:47,01:32.0,241.481
5,4,Lando Norris,McLaren Mercedes,46,21:22:26,01:32.8,239.629
6,20,Kevin Magnussen,Haas Ferrari,48,21:25:44,01:32.8,239.562
7,63,George Russell,Mercedes,43,21:17:24,01:32.8,239.454
8,44,Lewis Hamilton,Mercedes,47,21:24:16,01:33.0,239.001
9,31,Esteban Ocon,Alpine Renault,46,21:22:25,01:33.1,238.729
10,10,Pierre Gasly,AlphaTauri RBPT,42,21:16:17,01:33.5,237.796
11,27,Nico Hulkenberg,Aston Martin Aramco Mercedes,47,21:24:31,01:33.7,237.332
12,14,Fernando Alonso,Alpine Renault,33,21:00:34,01:33.8,236.876
13,24,Zhou Guanyu,Alfa Romeo Ferrari,45,21:21:14,01:33.9,236.642
14,77,Valtteri Bottas,Alfa Romeo Ferrari,31,20:57:27,01:34.0,236.503
15,23,Alexander Albon,Williams Mercedes,46,21:22:46,01:34.4,235.528
16,18,Lance Stroll,Aston Martin Aramco Mercedes,46,21:22:45,01:34.4,235.334
17,3,Daniel Ricciardo,McLaren Mercedes,34,21:02:18,01:34.5,235.232
18,6,Nicholas Latifi,Williams Mercedes,9,20:18:21,01:37.5,227.892
