Pos,No,Driver,Car,Lap,Timeofday,Time,AvgSpeed
1,24,ZhouGuanyu,AlfaRomeoFerrari,20,16:52:17,1:44.411,200.220
2,14,FernandoAlonso,AlpineRenault,25,17:00:46,1:44.412,200.218
3,16,CharlesLeclerc,Ferrari,10,16:33:12,1:44.489,200.070
4,1,MaxVerstappen,RedBullRacingRBPT,10,16:33:08,1:44.911,199.266
5,18,LanceStroll,AstonMartinAramcoMercedes,21,16:53:56,1:45.205,198.709
6,10,PierreGasly,AlphaTauriRBPT,22,16:55:53,1:45.387,198.366
7,44,LewisHamilton,Mercedes,11,16:35:12,1:45.530,198.097
8,22,YukiTsunoda,AlphaTauriRBPT,22,16:55:48,1:45.893,197.418
9,11,SergioPerez,RedBullRacingRBPT,11,16:35:06,1:46.120,196.995
10,47,MickSchumacher,HaasFerrari,13,16:39:23,1:46.545,196.210
11,31,EstebanOcon,AlpineRenault,11,16:35:11,1:46.559,196.184
12,5,SebastianVettel,AstonMartinAramcoMercedes,13,16:38:52,1:46.964,195.441
13,63,GeorgeRussell,Mercedes,21,16:53:29,1:47.004,195.368
14,77,ValtteriBottas,AlfaRomeoFerrari,11,16:35:30,1:47.820,193.889
15,3,DanielRicciardo,McLarenMercedes,11,16:35:28,1:47.843,193.848
16,20,KevinMagnussen,HaasFerrari,10,16:33:41,1:48.072,193.437
17,4,LandoNorris,McLarenMercedes,8,16:29:54,1:48.175,193.253
18,6,NicholasLatifi,WilliamsMercedes,12,16:37:09,1:48.371,192.904
